Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2014-01-02,9.621,10.021,9.461,9.93,1752816
2014-01-03,9.626,9.834,9.54,9.619,1421392
2014-01-06,9.36,9.688,9.339,9.688,1331000
2014-01-07,8.9975,9.15,8.786,9.079,3876080
2014-01-08,9.059,9.1475,8.821,8.996,1915344
2014-01-09,9.019,9.175,8.935,9.106,1196720
2014-01-10,9.099,9.185,8.9475,9.036,1379312
2014-01-13,8.88,9.066,8.756,9.055,3054888
2014-01-14,9.0025,9.039,8.769,8.84,1601528
2014-01-15,9.079,9.1125,8.939,9.056,1529008
2014-01-16,9.0925,9.121,9.04,9.0675,1129296
2014-01-17,8.749,9.1,8.715,9.056,1544728
2014-01-21,8.725,8.834,8.61,8.81,1341016
2014-01-22,8.815,8.855,8.715,8.73,875216
2014-01-23,8.835,8.851,8.681,8.759,1203936
2014-01-24,8.554,8.825,8.31,8.7675,1749992
2014-01-27,8.206,8.654,8.0365,8.539,1545464
2014-01-28,8.545,8.6,8.1585,8.206,1344480
2014-01-29,8.366,8.57,8.3075,8.4825,1422784
2014-01-30,8.451,8.521,8.314,8.451,998752
2014-01-31,8.791,8.8175,8.246,8.259,1417520
2014-02-03,7.919,8.811,7.876,8.7575,2076128
2014-02-04,8.0175,8.269,7.915,7.98,1085632
2014-02-05,7.949,8.0425,7.761,7.971,963936
2014-02-06,8.239,8.274,8.011,8.011,1006584
2014-02-07,8.239,8.4225,8.186,8.275,968888
2014-02-10,8.0425,8.271,7.975,8.229,2137128
2014-02-11,8.1925,8.199,7.924,8.041,2217088
2014-02-12,8.349,8.371,8.19,8.22,895592
2014-02-13,8.564,8.649,8.1475,8.286,1276360
2014-02-14,8.635,8.671,8.394,8.56,1157664
2014-02-18,8.579,8.759,8.47,8.706,1369360
2014-02-19,8.429,8.585,8.3725,8.511,1726984
2014-02-20,8.5325,8.644,8.384,8.415,853624
2014-02-21,8.55,8.584,8.365,8.555,2297648
2014-02-24,10.322,10.856,9.375,9.375,11299368
2014-02-25,9.474,10.294,9.335,10.182,4451280
2014-02-26,9.685,9.889,9.3125,9.46,2198096
2014-02-27,9.868,9.875,9.581,9.67,1284984
2014-02-28,9.778,9.988,9.729,9.898,1825776
2014-03-03,9.465,9.666,9.3175,9.572,1753240
2014-03-04,9.681,9.775,9.528,9.606,2180088
2014-03-05,9.651,9.7,9.549,9.648,1078072
2014-03-06,9.642,9.74,9.584,9.641,1367248
2014-03-07,9.4975,9.708,9.405,9.614,1183376
2014-03-10,9.341,9.511,9.245,9.496,1171440
2014-03-11,9.051,9.43,9.014,9.345,1202272
2014-03-12,9.069,9.1425,8.919,8.9775,1251712
2014-03-13,8.774,9.099,8.625,9.089,1791968
2014-03-14,9.031,9.069,8.6925,8.715,3833840
2014-03-17,9.83,10.011,9.08,9.08,3664008
2014-03-18,9.871,9.965,9.719,9.846,1450488
2014-03-19,9.625,9.962,9.508,9.902,1542984
2014-03-20,9.316,9.65,9.294,9.62,1360992
2014-03-21,8.925,9.404,8.7925,9.374,4642536
2014-03-24,8.83,9.01,8.619,8.951,1626968
2014-03-25,8.96,9.0125,8.8,8.9275,1563368
2014-03-26,8.529,9.021,8.4425,9.0175,1856800
2014-03-27,8.614,8.679,8.396,8.5275,1518104
2014-03-28,8.891,8.934,8.6125,8.6225,2051200
2014-03-31,9.145,9.164,8.819,8.9475,2425448
2014-04-01,9.2775,9.4375,9.156,9.205,2271208
2014-04-02,9.3125,9.3575,9.0525,9.266,1795696
2014-04-03,9.3075,9.396,9.241,9.275,1704024
2014-04-04,9.2875,9.615,9.261,9.3575,2446040
2014-04-07,9.106,9.245,9.006,9.205,2925336
2014-04-08,9.32,9.409,9.029,9.0475,2052616
2014-04-09,9.515,9.67,9.2725,9.38,2339112
2014-04-10,9.538,9.598,9.396,9.546,2696000
2014-04-11,9.1625,9.48,9.125,9.449,3265032
2014-04-14,9.121,9.3125,8.955,9.3125,1806288
2014-04-15,8.911,9.3075,8.765,9.126,2227056
2014-04-16,9.135,9.196,8.8525,8.989,1836728
